Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuperAdmintoCreateNewAdmin,Chrome 69.0.3497.100,,2018-10-26 16:21:28,2018-10-26 16:23:42,2m - 14.190s,ERROR
,,,,,,
Test Cases/Common/LoginAsSuperAdmin,Chrome 69.0.3497.100,,2018-10-26 16:21:29,2018-10-26 16:21:50,21.249s,PASSED
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(adminDetails),Chrome 69.0.3497.100,,2018-10-26 16:21:29,2018-10-26 16:21:30,0.788s,PASSED
"Statement - userName = dbdata.getValue(5, 2)",Chrome 69.0.3497.100,,2018-10-26 16:21:30,2018-10-26 16:21:30,0.018s,PASSED
"Statement - password = dbdata.getValue(2, 2)",Chrome 69.0.3497.100,,2018-10-26 16:21:30,2018-10-26 16:21:30,0.001s,PASSED
phpTravels.commonUtils.loginToPHPTravels,Chrome 69.0.3497.100,,2018-10-26 16:21:30,2018-10-26 16:21:50,19.774s,PASSED
,,,,,,
Test Cases/CreateUser/CreateNewAdmin,Chrome 69.0.3497.100,,2018-10-26 16:21:50,2018-10-26 16:23:40,1m - 50.534s,ERROR
phpTravels.PhpKeys.navigateToCreateAdminPage,Chrome 69.0.3497.100,,2018-10-26 16:21:50,2018-10-26 16:22:04,13.174s,PASSED
phpTravels.PhpKeys.provideAdminDetails,Chrome 69.0.3497.100,,2018-10-26 16:22:04,2018-10-26 16:22:52,48.655s,PASSED
phpTravels.PhpKeys.provideAccessDetailsForAdd,Chrome 69.0.3497.100,,2018-10-26 16:22:52,2018-10-26 16:23:08,16.129s,PASSED
phpTravels.PhpKeys.provideAccessDetailsForEdit,Chrome 69.0.3497.100,,2018-10-26 16:23:08,2018-10-26 16:23:24,16.006s,PASSED
phpTravels.PhpKeys.provideAccessDetailsForRemove,Chrome 69.0.3497.100,,2018-10-26 16:23:24,2018-10-26 16:23:40,15.981s,PASSED
phpTravels.PhpKeys.saveAdmin,Chrome 69.0.3497.100,,2018-10-26 16:23:40,2018-10-26 16:23:40,0.087s,ERROR
