Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
createTour,Chrome 69.0.3497.100,,2018-10-30 12:21:31,2018-10-30 12:25:59,4m - 28.143s,PASSED
,,,,,,
Test Cases/Common/LoginAsSuperAdmin,Chrome 69.0.3497.100,,2018-10-30 12:21:31,2018-10-30 12:21:56,24.527s,PASSED
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(adminDetails),Chrome 69.0.3497.100,,2018-10-30 12:21:32,2018-10-30 12:21:33,0.896s,PASSED
"Statement - userName = dbdata.getValue(5, 2)",Chrome 69.0.3497.100,,2018-10-30 12:21:33,2018-10-30 12:21:33,0.021s,PASSED
"Statement - password = dbdata.getValue(2, 2)",Chrome 69.0.3497.100,,2018-10-30 12:21:33,2018-10-30 12:21:33,0.005s,PASSED
phpTravels.commonUtils.loginToPHPTravels,Chrome 69.0.3497.100,,2018-10-30 12:21:33,2018-10-30 12:21:56,22.933s,PASSED
,,,,,,
Test Cases/CreateTour/CreateATour,Chrome 69.0.3497.100,,2018-10-30 12:21:56,2018-10-30 12:25:57,4m - 0.865s,PASSED
phpTravels.TourKeys.navigateToNewTour,Chrome 69.0.3497.100,,2018-10-30 12:21:56,2018-10-30 12:22:09,12.245s,PASSED
phpTravels.TourKeys.provideTourDetails,Chrome 69.0.3497.100,,2018-10-30 12:22:09,2018-10-30 12:24:04,1m - 55.579s,PASSED
phpTravels.TourKeys.provideTourInclusions,Chrome 69.0.3497.100,,2018-10-30 12:24:04,2018-10-30 12:25:27,1m - 22.957s,PASSED
phpTravels.TourKeys.provideTourExclusions,Chrome 69.0.3497.100,,2018-10-30 12:25:27,2018-10-30 12:25:47,20.394s,PASSED
phpTravels.TourKeys.SaveTour,Chrome 69.0.3497.100,,2018-10-30 12:25:47,2018-10-30 12:25:57,9.357s,PASSED
