Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateNewAdminAndLogin,Firefox 47.0,,2018-10-18 14:00:11,2018-10-18 14:01:00,49.198s,ERROR
,,,,,,
Test Cases/Common/LoginAsSuperAdmin,Firefox 47.0,,2018-10-18 14:00:11,2018-10-18 14:00:29,17.897s,PASSED
openBrowser,Firefox 47.0,,2018-10-18 14:00:12,2018-10-18 14:00:25,13.208s,PASSED
navigateToUrl,Firefox 47.0,,2018-10-18 14:00:25,2018-10-18 14:00:28,2.308s,PASSED
setText,Firefox 47.0,,2018-10-18 14:00:28,2018-10-18 14:00:28,0.634s,PASSED
setText,Firefox 47.0,,2018-10-18 14:00:28,2018-10-18 14:00:29,0.682s,PASSED
click,Firefox 47.0,,2018-10-18 14:00:29,2018-10-18 14:00:29,0.224s,PASSED
,,,,,,
Test Cases/CreateUser/CreateNewAdmin,Firefox 47.0,,2018-10-18 14:00:29,2018-10-18 14:00:59,30.087s,ERROR
phpTravels.PhpKeys.navigateToCreateAdminPage,Firefox 47.0,,2018-10-18 14:00:30,2018-10-18 14:00:36,6.604s,PASSED
phpTravels.PhpKeys.provideAdminDetails,Firefox 47.0,,2018-10-18 14:00:36,2018-10-18 14:00:59,23.050s,PASSED
phpTravels.PhpKeys.provideAccessDetailsForAdd,Firefox 47.0,,2018-10-18 14:00:59,2018-10-18 14:00:59,0.055s,ERROR
