Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuperAdmintoCreateNewAdmin,Chrome 69.0.3497.100,,2018-10-26 16:48:42,2018-10-26 16:51:01,2m - 18.432s,FAILED
,,,,,,
Test Cases/Common/LoginAsSuperAdmin,Chrome 69.0.3497.100,,2018-10-26 16:48:43,2018-10-26 16:49:05,22.050s,PASSED
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(adminDetails),Chrome 69.0.3497.100,,2018-10-26 16:48:44,2018-10-26 16:48:45,0.980s,PASSED
"Statement - userName = dbdata.getValue(5, 2)",Chrome 69.0.3497.100,,2018-10-26 16:48:45,2018-10-26 16:48:45,0.024s,PASSED
"Statement - password = dbdata.getValue(2, 2)",Chrome 69.0.3497.100,,2018-10-26 16:48:45,2018-10-26 16:48:45,0.006s,PASSED
phpTravels.commonUtils.loginToPHPTravels,Chrome 69.0.3497.100,,2018-10-26 16:48:45,2018-10-26 16:49:05,20.321s,PASSED
,,,,,,
Test Cases/CreateUser/CreateNewAdmin,Chrome 69.0.3497.100,,2018-10-26 16:49:05,2018-10-26 16:50:59,1m - 53.696s,FAILED
phpTravels.PhpKeys.navigateToCreateAdminPage,Chrome 69.0.3497.100,,2018-10-26 16:49:06,2018-10-26 16:49:24,18.382s,PASSED
phpTravels.PhpKeys.provideAdminDetails,Chrome 69.0.3497.100,,2018-10-26 16:49:24,2018-10-26 16:50:13,48.753s,PASSED
phpTravels.PhpKeys.provideAccessDetailsForAdd,Chrome 69.0.3497.100,,2018-10-26 16:50:13,2018-10-26 16:50:29,16.121s,PASSED
phpTravels.PhpKeys.provideAccessDetailsForEdit,Chrome 69.0.3497.100,,2018-10-26 16:50:29,2018-10-26 16:50:45,15.946s,PASSED
phpTravels.PhpKeys.provideAccessDetailsForRemove,Chrome 69.0.3497.100,,2018-10-26 16:50:45,2018-10-26 16:50:59,14.149s,FAILED
