Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuperAdmintoCreateNewAdmin,Chrome 69.0.3497.100,,2018-10-26 16:53:51,2018-10-26 16:56:18,2m - 26.867s,FAILED
,,,,,,
Test Cases/Common/LoginAsSuperAdmin,Chrome 69.0.3497.100,,2018-10-26 16:53:52,2018-10-26 16:54:21,29.266s,PASSED
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(adminDetails),Chrome 69.0.3497.100,,2018-10-26 16:53:53,2018-10-26 16:53:53,0.805s,PASSED
"Statement - userName = dbdata.getValue(5, 2)",Chrome 69.0.3497.100,,2018-10-26 16:53:53,2018-10-26 16:53:54,0.023s,PASSED
"Statement - password = dbdata.getValue(2, 2)",Chrome 69.0.3497.100,,2018-10-26 16:53:54,2018-10-26 16:53:54,0.002s,PASSED
phpTravels.commonUtils.loginToPHPTravels,Chrome 69.0.3497.100,,2018-10-26 16:53:54,2018-10-26 16:54:21,27.780s,PASSED
,,,,,,
Test Cases/CreateUser/CreateNewAdmin,Chrome 69.0.3497.100,,2018-10-26 16:54:21,2018-10-26 16:56:16,1m - 54.758s,FAILED
phpTravels.PhpKeys.navigateToCreateAdminPage,Chrome 69.0.3497.100,,2018-10-26 16:54:22,2018-10-26 16:54:59,37.102s,PASSED
phpTravels.PhpKeys.provideAdminDetails,Chrome 69.0.3497.100,,2018-10-26 16:54:59,2018-10-26 16:55:48,49.035s,PASSED
phpTravels.PhpKeys.provideAccessDetailsForAdd,Chrome 69.0.3497.100,,2018-10-26 16:55:48,2018-10-26 16:56:16,28.296s,FAILED
