Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateNewAdminAndLogin,Chrome 69.0.3497.100,,2018-10-23 11:20:15,2018-10-23 11:20:36,20.860s,ERROR
,,,,,,
Test Cases/Common/LoginAsSuperAdmin,Chrome 69.0.3497.100,,2018-10-23 11:20:16,2018-10-23 11:20:26,10.069s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 11:20:16,2018-10-23 11:20:22,5.333s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-23 11:20:22,2018-10-23 11:20:24,2.499s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 11:20:24,2018-10-23 11:20:25,0.658s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 11:20:25,2018-10-23 11:20:25,0.373s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 11:20:25,2018-10-23 11:20:26,0.344s,PASSED
,,,,,,
Test Cases/CreateUser/CreateNewAdmin,Chrome 69.0.3497.100,,2018-10-23 11:20:26,2018-10-23 11:20:35,9.049s,ERROR
phpTravels.PhpKeys.navigateToCreateAdminPage,Chrome 69.0.3497.100,,2018-10-23 11:20:26,2018-10-23 11:20:34,7.611s,PASSED
phpTravels.PhpKeys.provideAdminDetails,Chrome 69.0.3497.100,,2018-10-23 11:20:34,2018-10-23 11:20:35,0.893s,ERROR
