Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
createTour,Chrome 69.0.3497.100,,2018-10-30 11:58:39,2018-10-30 12:00:34,1m - 55.083s,FAILED
,,,,,,
Test Cases/Common/LoginAsSuperAdmin,Chrome 69.0.3497.100,,2018-10-30 11:58:40,2018-10-30 11:59:11,31.634s,PASSED
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(adminDetails),Chrome 69.0.3497.100,,2018-10-30 11:58:40,2018-10-30 11:58:41,1.129s,PASSED
"Statement - userName = dbdata.getValue(5, 2)",Chrome 69.0.3497.100,,2018-10-30 11:58:41,2018-10-30 11:58:41,0.044s,PASSED
"Statement - password = dbdata.getValue(2, 2)",Chrome 69.0.3497.100,,2018-10-30 11:58:41,2018-10-30 11:58:41,0.002s,PASSED
phpTravels.commonUtils.loginToPHPTravels,Chrome 69.0.3497.100,,2018-10-30 11:58:41,2018-10-30 11:59:11,29.836s,PASSED
,,,,,,
Test Cases/CreateTour/CreateATour,Chrome 69.0.3497.100,,2018-10-30 11:59:11,2018-10-30 12:00:32,1m - 20.864s,FAILED
phpTravels.TourKeys.navigateToNewTour,Chrome 69.0.3497.100,,2018-10-30 11:59:12,2018-10-30 11:59:41,29.198s,PASSED
phpTravels.TourKeys.provideTourDetails,Chrome 69.0.3497.100,,2018-10-30 11:59:41,2018-10-30 12:00:32,51.156s,FAILED
