Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuperAdmintoCreateNewAdmin,Chrome 69.0.3497.100,,2018-10-26 16:29:37,2018-10-26 16:33:29,3m - 52.303s,FAILED
,,,,,,
Test Cases/Common/LoginAsSuperAdmin,Chrome 69.0.3497.100,,2018-10-26 16:29:38,2018-10-26 16:30:05,27.094s,PASSED
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(adminDetails),Chrome 69.0.3497.100,,2018-10-26 16:29:39,2018-10-26 16:29:40,0.860s,PASSED
"Statement - userName = dbdata.getValue(5, 2)",Chrome 69.0.3497.100,,2018-10-26 16:29:40,2018-10-26 16:29:40,0.017s,PASSED
"Statement - password = dbdata.getValue(2, 2)",Chrome 69.0.3497.100,,2018-10-26 16:29:40,2018-10-26 16:29:40,0.002s,PASSED
phpTravels.commonUtils.loginToPHPTravels,Chrome 69.0.3497.100,,2018-10-26 16:29:40,2018-10-26 16:30:05,25.168s,PASSED
,,,,,,
Test Cases/CreateUser/CreateNewAdmin,Chrome 69.0.3497.100,,2018-10-26 16:30:05,2018-10-26 16:33:28,3m - 22.689s,FAILED
phpTravels.PhpKeys.navigateToCreateAdminPage,Chrome 69.0.3497.100,,2018-10-26 16:30:05,2018-10-26 16:30:34,28.688s,PASSED
phpTravels.PhpKeys.provideAdminDetails,Chrome 69.0.3497.100,,2018-10-26 16:30:34,2018-10-26 16:31:38,1m - 3.612s,PASSED
phpTravels.PhpKeys.provideAccessDetailsForAdd,Chrome 69.0.3497.100,,2018-10-26 16:31:38,2018-10-26 16:32:17,39.810s,PASSED
phpTravels.PhpKeys.provideAccessDetailsForEdit,Chrome 69.0.3497.100,,2018-10-26 16:32:17,2018-10-26 16:32:58,41.009s,PASSED
phpTravels.PhpKeys.provideAccessDetailsForRemove,Chrome 69.0.3497.100,,2018-10-26 16:32:58,2018-10-26 16:33:28,29.272s,FAILED
