Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
createTour,Chrome 69.0.3497.100,,2018-10-30 11:44:40,2018-10-30 11:46:14,1m - 34.191s,FAILED
,,,,,,
Test Cases/Common/LoginAsSuperAdmin,Chrome 69.0.3497.100,,2018-10-30 11:44:41,2018-10-30 11:45:06,24.941s,PASSED
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(adminDetails),Chrome 69.0.3497.100,,2018-10-30 11:44:42,2018-10-30 11:44:42,0.980s,PASSED
"Statement - userName = dbdata.getValue(5, 2)",Chrome 69.0.3497.100,,2018-10-30 11:44:42,2018-10-30 11:44:43,0.018s,PASSED
"Statement - password = dbdata.getValue(2, 2)",Chrome 69.0.3497.100,,2018-10-30 11:44:43,2018-10-30 11:44:43,0.005s,PASSED
phpTravels.commonUtils.loginToPHPTravels,Chrome 69.0.3497.100,,2018-10-30 11:44:43,2018-10-30 11:45:06,23.179s,PASSED
,,,,,,
Test Cases/CreateTour/CreateATour,Chrome 69.0.3497.100,,2018-10-30 11:45:06,2018-10-30 11:46:12,1m - 6.331s,FAILED
phpTravels.TourKeys.navigateToNewTour,Chrome 69.0.3497.100,,2018-10-30 11:45:06,2018-10-30 11:45:22,16.022s,PASSED
phpTravels.TourKeys.provideTourDetails,Chrome 69.0.3497.100,,2018-10-30 11:45:22,2018-10-30 11:46:12,49.865s,FAILED
