Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuperAdmintoCreateNewAdmin,Chrome 69.0.3497.100,,2018-10-26 16:40:08,2018-10-26 16:42:31,2m - 23.275s,FAILED
,,,,,,
Test Cases/Common/LoginAsSuperAdmin,Chrome 69.0.3497.100,,2018-10-26 16:40:09,2018-10-26 16:40:33,24.819s,PASSED
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(adminDetails),Chrome 69.0.3497.100,,2018-10-26 16:40:09,2018-10-26 16:40:10,0.946s,PASSED
"Statement - userName = dbdata.getValue(5, 2)",Chrome 69.0.3497.100,,2018-10-26 16:40:10,2018-10-26 16:40:10,0.018s,PASSED
"Statement - password = dbdata.getValue(2, 2)",Chrome 69.0.3497.100,,2018-10-26 16:40:10,2018-10-26 16:40:10,0.001s,PASSED
phpTravels.commonUtils.loginToPHPTravels,Chrome 69.0.3497.100,,2018-10-26 16:40:10,2018-10-26 16:40:33,23.125s,PASSED
,,,,,,
Test Cases/CreateUser/CreateNewAdmin,Chrome 69.0.3497.100,,2018-10-26 16:40:34,2018-10-26 16:42:30,1m - 56.050s,FAILED
phpTravels.PhpKeys.navigateToCreateAdminPage,Chrome 69.0.3497.100,,2018-10-26 16:40:34,2018-10-26 16:40:51,17.436s,PASSED
phpTravels.PhpKeys.provideAdminDetails,Chrome 69.0.3497.100,,2018-10-26 16:40:51,2018-10-26 16:41:40,48.825s,PASSED
phpTravels.PhpKeys.provideAccessDetailsForAdd,Chrome 69.0.3497.100,,2018-10-26 16:41:40,2018-10-26 16:41:56,16.081s,PASSED
phpTravels.PhpKeys.provideAccessDetailsForEdit,Chrome 69.0.3497.100,,2018-10-26 16:41:56,2018-10-26 16:42:12,16.057s,PASSED
phpTravels.PhpKeys.provideAccessDetailsForRemove,Chrome 69.0.3497.100,,2018-10-26 16:42:12,2018-10-26 16:42:30,17.218s,FAILED
